	Autore	Titolo	Genere	Numero di prestiti	Data prestito
2009	Sanguineti Edoardo	Poesia italiana del '900			06/06/2009
2009	Rieff Philip	Freud moralista			06/06/2009
2009	Jung Carl Gustav	La psicologia del transfert			06/06/2009
2009	Leopardi Giacomo	Operette morali			06/06/2009
2009	Pirandello Luigi	Il fu Mattia Pascal			06/06/2009
2009	Pirandello Luigi	Il fu Mattia Pascal			16/09/2009
2009	Landau, Lev Davidovič, Lifšic, Evgenij Mihajlovič, Pitaevskij, Lev Petrovič	Fisica statistica			13/10/2009
2009	Benigni Roberto, Cerami Vincenzo	La vita è bella			28/10/2009
2009	Vassalli Sebastiano	La chimera			28/10/2009
2009	Calvino Italo	Sotto il sole giaguaro			28/10/2009
2009	Savitale Francesca	Madre e figlia			28/10/2009
